"SKU","ID","Tipo","Nombre","Precio normal","_bgm_min_1","_bgm_descuento_1","_bgm_min_2","_bgm_descuento_2","_bgm_modo_descuento","reglas"
"9576721257524","12031","simple","Aceite Capilar Monoi Expert Line","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"7804666440094","11652","simple","Aceite Capilar Palta Mflora","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
"9571891203531","11639","simple","Aceite Capilar Ricino Expert Line","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"78046666440193","11654","simple","Aceite Capilar Romero Oliva Mflora","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
"78046666440070","11653","simple","Aceite Capilar Rosa Mosqueta Mflora","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
"6974549383464","22666","variable","Aceite Corporal Shimmer Misucka 50Ml","","3","1000","12","1690","unico","#37 Descuento lote 1000 ; #116 Descuento Nivel II lote 1690"
"7804666440124","16333","simple","Aceite De Acido Capilar Mflora","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
"7805800560029","39771","simple","Aceite de Cutículas Coconut Cherimoya 15ml","2990","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"760412335922","33403","simple","Aceite de Labios Frutal Max Belle","1000","3","250","12","450","unico","#8 Descuento lote 250 ; #62 Descuento Nivel II lote 450"
"6952743800574","23505","variable","Aceite De Masajes Hidratante Corporal 220Ml","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"6929534001373","6345","simple","Aceite De Ricino Para Pestañas Y Cabello","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
"8800577018291","38956","variable","Aceite Labial Caring","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8800577018284","38939","variable","Aceite Labial Fresh Kiss","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"7804666440179","16332","simple","Aceite Para Barba Mflora","2990","3","800","12","1200","unico","#31 Descuento lote 800 ; #104 Descuento Nivel II lote 1200"
"77386350660310","40700","simple","Acondicionador Bomba de Keratina","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"9571981120519","40790","simple","Acondicionador Expert Line Argan","3490","3","800",,,"unico","#31 Descuento lote 800"
"9576721249758","40788","simple","Acondicionador Expert Line Jojoba & Argan","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
